Name,Department,University,Overall_Rating,Would_Take_Again,Level_of_Difficulty,Num_Ratings
Arafat Abu Mallouh,Computer Science,Manhattan College,4.6,86%,2.9,7
Susan Abramowitz,Mathematics,Farmingdale State College,2.3,15%,3.3,21
Eric Alvarado,Computer Science,St. John's University - Jamaica/Queens,5.0,100%,3.0,1
Syed Bukhari,Computer Science,St. John's University - Jamaica/Queens,3.4,44%,3.2,16
Anil Chacko,Computer Science,St. John's University - Jamaica/Queens,2.4,40%,3.8,5
Terrence Chapman,Mathematics,St. John's University - Jamaica/Queens,N/A,N/A,N/A,0
Rene Christian,N/A,N/A,N/A,N/A,N/A,0
Christoforos Christoforou,Computer Science,St. John's University - Jamaica/Queens,2.6,40%,4.2,25
Giancarlo Crocetti,Computer Science,St. John's University,4.1,100%,2.7,7
Joan Debello,Computer Science,St. John's University - Jamaica/Queens,4.2,75%,2.1,98
Geoffrey Dick,Business,Northern Arizona University,4.3,100%,2.3,3
Denise Dragos,Computer Science,St. John's University - Jamaica/Queens,2.7,29%,3.7,15
Hassan El Houari,N/A,N/A,N/A,N/A,N/A,0
Lisa Ellrodt,Computer Science,Pace University,3.6,100%,2.5,11
Ronald Fechter,Computer Science,St. John's University - Jamaica/Queens,3.8,79%,3.0,73
Arnold Felberbaum,N/A,N/A,N/A,N/A,N/A,0
Valentina Forgione,Mathematics,St. John's University - Jamaica/Queens,5.0,100%,2.0,1
Murat Genc,Computer Science,St. John's University - Jamaica/Queens,4.5,100%,2.0,2
Puya Ghazizadeh,Computer Science,St. John's University - Jamaica/Queens,3.8,67%,3.3,48
Yavuz Guner,Computer Science,Hudson County Community College,3.7,58%,3.0,7
Landon Hurley,Mathematics,St. John's University,1.5,0%,5.0,2
Ambeeka Jewnandan,Computer Science,St. John's University - Jamaica/Queens,5.0,100%,2.0,1
Fazel Keshtkar,Computer Science,St. John's University - Jamaica/Queens,2.1,29%,3.5,21
Krishna Lala,Computer Science,St. John's University - Jamaica/Queens,N/A,N/A,N/A,0
Edmond Lleshi,Computer Science,St. John's University - Jamaica/Queens,N/A,N/A,N/A,0
Bonnie MacKellar,Computer Science,St. John's University - Jamaica/Queens,2.3,26%,3.9,53
Alam Miah,Mathematics,St. John's University - Jamaica/Queens,N/A,N/A,N/A,0
Serine Ndiaye,Mathematics,Borough of Manhattan Community College,4.5,85%,2.4,94
Peter Orgas,Mathematics,St. John's University,4.3,100%,3.0,4
Francis Parisi,Computer Science,Pace University,4.8,96%,3.0,22
Nil Patel,Computer Science,St. John's University,3.0,0%,3.0,1
Jeremy Rambarran,Computer Science,St. John's University - Jamaica/Queens,5.0,100%,1.0,3
Mantie Reid,Mathematics,Mercy College,5.0,100%,2.8,19
Arthur Salmon,Computer Information Technology,College of Southern Nevada,4.8,92%,1.9,161
James Salvadon,Mathematics,SUNY Rockland Community College,4.0,82%,2.7,125
Suzanna Schmeelk,Computer Science,St. John's University - Jamaica/Queens,4.4,75%,2.6,8
Christina Schweikert,Computer Science,St. John's University - Jamaica/Queens,4.6,96%,2.4,26
Richard Scorce,Computer Science,St. John's University - Jamaica/Queens,3.2,43%,3.0,45
Frank Servas,Computer Science,St. John's University - Jamaica/Queens,2.5,35%,3.8,64
Suresh Sigera,Computer Science,College of Staten Island,5.0,100%,2.2,8
Ronald Sklar,Computer Science,St. John's University - Jamaica/Queens,2.7,46%,3.3,42
Zubin Sultan,Mathematics,St. John's University - Jamaica/Queens,3.5,50%,3.0,2
Kutub Thakur,Computer Information Systems,Baruch College,3.6,64%,2.8,133
Erald Troja,Computer Information Systems,St. John's University - Jamaica/Queens,4.8,96%,2.5,41
Mauricio D. Vergara,Finance,Pace University,2.4,20%,3.8,5
Dinesh Verma,Computer Science,St. John's University - Jamaica/Queens,2.0,34%,4.7,3
Nikhil Yadav,Computer Science,St. John's University - Jamaica/Queens,4.5,87%,3.5,40
